Business Name,Zip Code,License Number,License Type,City
ST. GEORGE SPIRITS INC.,945017541,200117,LS,ALAMEDA
ST. JAMES WINERY INC.,655591158,61668,22MS,ST. JAMES
ST. JAMES WINERY INC.,655591158,241557,DOMW,ST. JAMES
ST. JORDAN CREEK INC.,630131503,189116,22MS,BEAUFORT
"ST. KILLIAN IMPORTING CO., INC.",023641503,242898,LS,KINGSTON
"ST. LOUIS BREWERY LLC, THE",631432454,207604,22MS,MAPLEWOOD
"ST. LOUIS BREWERY LLC, THE",631031616,207606,22MS,ST. LOUIS
"ST. LOUIS BREWERY LLC, THE",631100000,219949,22S,ST. LOUIS
"ST. LOUIS DISTILLERY, LLC",633033815,196682,LMS,ST. CHARLES
ST. LOUIS WINE & BEERMAKING LLC,63017,241928,MICB,TOWN AND COUNTRY
ST. SUPERY INC.,945730000,239375,22S,RUTHERFORD
STACKED WINES LLC,928011120,221800,22S,ANAHEIM
STAGLIN FAMILY VINEYARD LLC,945730680,148013,22S,RUTHERFORD
STANLEY STAWSKI DISTRIBUTING COMPANY INC,601011475,123413,LS,ADDISON
STAR INDUSTRIES INC.,117913433,180003,LS,SYOSSET
"STAUDE, EDMUND D. & CLAUDIA A.",633833340,159964,DOMW,WARRENTON
STE. MICHELLE WINE ESTATES LTD.,980726981,39939,LS,WOODINVILLE
STEELE CREST WINERY LLC,637557752,220251,22MS,JACKSON
STEINBECK BREWING COMPANY,945414108,231017,22S,HAYWARD
STELLA WINE IMPORTS LLC,630057033,210914,22S,WILDWOOD
STEM CIDERS LLC,802052480,243446,22S,DENVER
STENNETT BREWERIES LLC,656535554,176602,MICB,FORSYTH
STENNETT ENTERPRISES LLC,656163549,166886,MICB,BRANSON
STEPHAN VINEYARD INC.,934466613,139249,22S,PASO ROBLES
STEWART CELLARS LLC,954720000,220480,22S,SEBASTOPOL
STILL 630 LLC,631043612,210070,LMS,ST. LOUIS
STOCKYARDS BREWING COMPANY LLC,641021044,236474,MICB,KANSAS CITY
STOLI GROUP (USA) LLC,100222050,219647,LS,NEW YORK
STOLLER IMPORTS INC.,600670000,126101,LS,PALATINE
STONE BREWING CO LLC,920294158,246351,22S,ESCONDIDO
STONE DISTILLERY LLC,981191321,226632,LS,SEATTLE
STONE HILL WINE COMPANY INC.,633632500,13754,DOMW,NEW FLORENCE
STONE HILL WINE COMPANY INC.,650411280,13755,DOMW,HERMANN
STONE HILL WINE COMPANY INC.,656164181,33983,DOMW,BRANSON
STONE HILL WINE COMPANY INC.,650411280,168903,22MS,HERMANN
STONE THE CROWS LLC,945740000,238515,22S,ST. HELENA
"STONEBRAKER, LONNIE D.",630372227,206706,DOMW,GERALD
STONECUSHION INC.,954489695,195538,22S,HEALDSBURG
STONEHAUS FARMS VINEYARD & WINERY LLC,640869513,94578,DOMW,LEE'S SUMMIT
STORYBOOK MOUNTAIN WINERY INC.,945159739,175360,22S,CALISTOGA
STOUT BREWING COMPANY LLC,280863262,220481,22S,KINGS MOUNTAIN
STRONG SPIRITS DISTILLING INC.,641524443,209294,LMS,PARKVILLE
SUGAR CREEK ACQUISITION LLC,630433701,231077,22MS,MARYLAND HEIGHTS
SUGAR CREEK WINERY INC.,633413103,83275,DOMW,DEFIANCE
SUGARLANDS DISTILLING COMPANY LLC,377380000,238012,LS,GATLINBURG
SUGARMILL DISTILLERY LLC,638010000,248911,LMS,SIKESTON
SULLIVAN VINEYARDS CORPORATION,945730000,165083,22S,RUTHERFORD
SUNNYE RIDGE WINERY LLC,662244572,211679,LS,LEAWOOD
SURLY BREWING CO,55426,246409,22S,BROOKLYN CENTER
SURVILLE ENTERPRISES CORPORATION,33181,199100,LS,MIAMI
SUTTER HOME WINERY INC.,945742204,211974,LS,ST. HELENA
SVP WINERY LLC,934610195,176398,22S,SHANDON
"SVW, LLC",652515166,202909,22MS,FULTON
T ELENTENY HOLDINGS LLC,10013,219802,LS,NEW YORK
"T'S REDNECK STEAKHOUSE, INC.",655367361,209105,LMS,LEBANON
TABLE BLUFF BREWING INC.,955011013,241909,22S,EUREKA
TAFT STREET INC.,954722555,186888,22S,SEBASTOPOL
TAKARA SAKE USA INC.,947101925,231015,LS,BERKELEY
TALLGRASS BREWING COMPANY INC.,665021467,186009,22S,MANHATTAN
TASHA'S INC.,971288560,230356,22S,MCMINNVILLE
TATTERSALL COMPANIES LLC,554131451,247434,LS,MINNEAPOLIS
TAVOLO VIGNETO LLC,631236133,217148,LS,ST. LOUIS
TEAL LAKE VINEYARD & FARMS LLC,652656746,208757,DOMW,MEXICO
TEMPEST DISTILLING & SPIRITS CO. LLC,631031311,235774,LMS,ST. LOUIS
TERRA FIRMA USA INC,633014332,197952,LS,ST. CHARLES
TERRAVANT WINE COMPANY LLC,934279565,192657,22S,BUELLTON
TERRE BEAU VINEYARDS LLC,640227800,188539,22MS,DOVER
TERRESSENTIA CORPORATION,294566707,224648,LS,NORTH CHARLESTON
TERRITORIAL VINEYARDS LLC,974024924,233303,22S,EUGENE
TGE LLC,970582905,201550,22S,THE DALLES
THIENOT USA INC.,949032012,213307,22S,SAN RAFAEL
THINK GLOBAL LLC,931010000,237754,22S,SANTA BARBARA
THIRTY-SEVEN LLC,954037416,239177,22S,SANTA ROSA
THIS REALM LLC,94558,242606,22S,NAPA
THOMAS FOGARTY WINERY LLC,940288156,233614,22S,PORTOLA VALLEY
THREE RANGERS LLC,212245056,238991,LS,BALTIMORE
